Procedure;Image;Calls;Instructions
.text;mysqld;0;5671506219
Lex_input_stream::get_text(st_mysql_lex_string*, unsigned int, int, int);mysqld;1280219;2754585893
MYSQLparse(THD*);mysqld;5424;2192600017
.text;mysqld;0;1293827985
.text;mysqld;0;1162891530
.text;mysqld;0;1086101655
crc32;libz.so.1;30439;768587020
.text;mysqld;0;687375405
bzero;libc.so.6;0;404696576
galera_append_data;libgalera_smm.so;586;322021621
my_convert;mysqld;1375496;308348956
gu::RecordSetInBase::checksum() const;libgalera_smm.so;1576;297758734
alloc_root;mysqld;8714656;270990604
crc32cHardware64;libgalera_smm.so;264370;258828389
galera::KeySetOut::KeyPart::KeyPart(galera::KeySetOut::KeyParts&, galera::KeySetOut&, galera::KeySetOut::KeyPart const*, galera::KeyData const&, int, int);libgalera_smm.so;642321;242197690
galera::KeySetOut::append(galera::KeyData const&);libgalera_smm.so;640864;218622370
.text;mysqld;0;210958765
.text;mysqld;0;201772022
__libc_malloc;libc.so.6;3981346;201584244
my_strnxfrm_simple_internal;mysqld;219848;189728824
.text;mysqld;0;188386469
my_hash_sort_simple_nopad;mysqld;110262;186451460
MYSQLlex(YYSTYPE*, THD*);mysqld;5193772;166200704
pack_row(TABLE*, st_bitmap const*, unsigned char*, unsigned char const*);mysqld;640876;153810240
cfree;libc.so.6;4654635;125451635
.text;mysqld;64;122363778
setup_fields(THD*, Bounds_checked_array<Item*>, List<Item>&, enum_mark_columns, List<Item>*, List<Item>*, bool);mysqld;654738;116653875
fill_record(THD*, TABLE*, List<Item>&, List<Item>&, bool, bool);mysqld;640542;107607154
Item::Item(THD*);mysqld;1957475;105706731
galera::Certification::do_test_v3(galera::TrxHandle*, bool);libgalera_smm.so;788;96535123
Field_string::store(char const*, unsigned int, charset_info_st const*);mysqld;1281024;80704512
Item::set_name(THD*, char const*, unsigned int, charset_info_st const*);mysqld;1281008;80694159
Field_string::pack(unsigned char*, unsigned char const*, unsigned int);mysqld;1391339;75132306
