Table size: 98852
Feature;Time(s)
-134045943;15.8
-134045823;15.81
145145;15.81
145265;15.81
-1140705287;15.81
-1140705167;15.81
-1274926087;15.81
-1274925967;15.81
-268266151;15.82
-268266031;15.82
335651753;15.87
335651873;15.87
467012073;16.03
467012193;16.03
-201116631;16.06
-201116511;16.06
-134045943;16.17
-134045823;16.17
-1140705287;16.17
-1140705167;16.17
467012073;16.18
467012193;16.18
-201116631;16.18
-201116511;16.18
-201116631;16.18
-201116511;16.18
-201116631;16.18
-201116511;16.18
-201116631;16.18
-201116511;16.18
-201116631;16.18
-201116511;16.18
467012073;16.19
467012193;16.19
467012073;16.19
467012193;16.19
467012073;16.19
467012193;16.19
467012073;16.19
467012193;16.19
-1274926087;16.19
-1274925967;16.19
-1274926087;16.19
-1274925967;16.19
-1274926087;16.19
-1274925967;16.19
-1274926087;16.19
-1274925967;16.19
-1274926087;16.19
-1274925967;16.19
-1274926087;16.19
-1274925967;16.19
-201116631;16.19
-201116511;16.19
-1140705287;16.19
-1140705167;16.19
-1140705287;16.19
-1140705167;16.19
-1140705287;16.19
-1140705167;16.19
-1140705287;16.19
-1140705167;16.19
-1140705287;16.19
-1140705167;16.19
-134045943;16.19
-134045823;16.19
-134045943;16.19
-134045823;16.19
-134045943;16.19
-134045823;16.19
-134045943;16.19
-134045823;16.19
-134045943;16.19
-134045823;16.19
-134045943;16.19
-134045823;16.19
-134045943;16.19
-134045823;16.19
-134045943;16.19
-134045823;16.19
-134045943;16.19
-134045823;16.19
-134045943;16.19
-134045823;16.19
-134045943;16.19
-134045823;16.19
-134045943;16.19
-134045823;16.19
-134045943;16.19
-134045823;16.19
-134045943;16.19
-134045823;16.19
467012073;16.19
467012193;16.19
467012073;16.19
467012193;16.19
467012073;16.19
467012193;16.19
467012073;16.19
467012193;16.19
467012073;16.19
467012193;16.19
467012073;16.19
467012193;16.19
467012073;16.19
467012193;16.19
467012073;16.19
467012193;16.19
467012073;16.19
467012193;16.19
467012073;16.19
467012193;16.19
-201116631;16.2
-201116511;16.2
-201116631;16.2
-201116511;16.2
-201116631;16.2
-201116511;16.2
-201116631;16.2
-201116511;16.2
-201116631;16.2
-201116511;16.2
-201116631;16.2
-201116511;16.2
-201116631;16.2
-201116511;16.2
-201116631;16.2
-201116511;16.2
-1140705287;16.2
-1140705167;16.2
-1140705287;16.2
-1140705167;16.2
-1140705287;16.2
-1140705167;16.2
-1140705287;16.2
-1140705167;16.2
-1140705287;16.2
-1140705167;16.2
-1140705287;16.2
-1140705167;16.2
-1140705287;16.2
-1140705167;16.2
-1140705287;16.2
-1140705167;16.2
-1140705287;16.2
-1140705167;16.2
-1274926087;16.2
-1274925967;16.2
-1274926087;16.2
-1274925967;16.2
-1274926087;16.2
-1274925967;16.2
-1274926087;16.2
-1274925967;16.2
-1274926087;16.2
-1274925967;16.2
-1274926087;16.2
-1274925967;16.2
-1274926087;16.2
-1274925967;16.2
-1274926087;16.2
-1274925967;16.2
-1274926087;16.2
-1274925967;16.2
-1274926087;16.2
-1274925967;16.2
-1274926087;16.2
-1274925967;16.2
-1274926087;16.2
-1274925967;16.2
-1274926087;16.2
-1274925967;16.2
-268266151;16.21
-268266031;16.21
-268266151;16.21
-268266031;16.21
-268266151;16.21
-268266031;16.21
-268266151;16.21
-268266031;16.21
-268266151;16.21
-268266031;16.21
-268266151;16.21
-268266031;16.21
-268266151;16.21
-268266031;16.21
-268266151;16.21
-268266031;16.21
-268266151;16.21
-268266031;16.21
-268266151;16.21
-268266031;16.21
-268266151;16.21
-268266031;16.21
-268266151;16.21
-268266031;16.21
-268266151;16.21
-268266031;16.21
-268266151;16.21
-268266031;16.21
-268266151;16.21
-268266031;16.21
-268266151;16.21
-268266031;16.21
-268266151;16.21
-268266031;16.21
-268266151;16.21
-268266031;16.21
-268266151;16.21
-268266031;16.21
-268266151;16.21
-268266031;16.21
-268266151;16.21
-268266031;16.21
-268266151;16.21
-268266031;16.21
-268266151;16.21
-268266031;16.21
-268266151;16.21
-268266031;16.21
-268266151;16.21
-268266031;16.21
-268266151;16.21
-268266031;16.21
-268266151;16.21
-268266031;16.21
-268266151;16.21
-268266031;16.21
-268266151;16.21
-268266031;16.21
-268266151;16.21
-268266031;16.21
-268266151;16.21
-268266031;16.21
-268266151;16.21
-268266031;16.21
145145;16.21
145265;16.21
145145;16.21
145265;16.21
145145;16.21
145265;16.21
145145;16.21
145265;16.21
145145;16.21
145265;16.21
145145;16.21
145265;16.21
145145;16.21
145265;16.21
145145;16.21
145265;16.21
145145;16.21
145265;16.21
145145;16.21
145265;16.21
145145;16.21
145265;16.21
145145;16.21
145265;16.21
145145;16.21
