Table size: 100000
Feature;Time(s)
1209793008;37.06
1209793536;37.06
1209794144;37.06
1209794672;37.06
1209795280;37.06
1209795808;37.06
1209796416;37.06
1209796944;37.06
1209797552;37.06
1209798080;37.06
1209798688;37.06
1209799216;37.06
1209799824;37.06
1209800352;37.06
1209800960;37.06
1209801488;37.06
1209802096;37.06
1209802624;37.06
1209803232;37.06
1209803760;37.06
1209804368;37.06
1209804896;37.06
1209805504;37.06
1209806032;37.06
1209806640;37.06
1209807168;37.06
1209807776;37.06
1209808304;37.06
1209808912;37.06
1209809440;37.06
1209810048;37.06
1209810576;37.06
1209811184;37.06
1209811712;37.06
1209812320;37.06
1209812848;37.06
1209813456;37.06
1209813984;37.06
1209814592;37.06
1209815216;37.06
1209815792;37.06
1209816320;37.06
1209816928;37.06
1209817456;37.06
1209818064;37.06
1209818592;37.06
1209819200;37.06
1209819728;37.06
1209820336;37.06
1209820864;37.06
1209821472;37.06
1209822000;37.06
1209822608;37.06
1209823136;37.06
1209823744;37.06
1209824272;37.06
1209824880;37.06
1209825408;37.06
1209826016;37.06
1209826544;37.06
1209827152;37.06
1209827680;37.06
1209828288;37.06
1209828816;37.06
1209829424;37.06
1209829952;37.06
1209830560;37.06
1209831088;37.06
1209831696;37.06
1209832224;37.06
1209832832;37.06
1209833360;37.06
1209833968;37.06
1209834496;37.06
1209835104;37.06
1209835632;37.06
1209836240;37.06
1209836768;37.06
1209837376;37.06
1209837904;37.06
1209838512;37.06
1209839040;37.06
1209839648;37.06
1209840176;37.06
1209840784;37.06
1209841312;37.06
1209841920;37.06
1209842448;37.06
1209843056;37.06
1209843584;37.06
1209844192;37.06
1209844720;37.06
1209845328;37.06
1209845856;37.06
1209846464;37.06
1209846992;37.06
1209847600;37.06
1209848128;37.06
1209848736;37.06
1209849264;37.06
1209849872;37.06
1209850400;37.06
1209851008;37.06
1209851536;37.06
1209852144;37.06
1209852672;37.06
1209853280;37.06
1209853808;37.06
1209854416;37.06
1209854944;37.06
1209855552;37.06
1209856080;37.06
1209856688;37.06
1209857216;37.06
1209857824;37.06
1209858352;37.06
1209858960;37.06
1209859488;37.06
1209860096;37.06
1209860624;37.06
1209861232;37.06
1209861760;37.06
1209862368;37.06
1209862896;37.06
1209863504;37.06
1209864032;37.06
1209864640;37.06
1209865168;37.06
1209865776;37.06
1209866304;37.06
1209866912;37.06
1209867440;37.06
1209868048;37.06
1209868576;37.06
1209869184;37.06
1209869712;37.06
1209870320;37.06
1209870848;37.06
1209871456;37.06
1209871984;37.06
1209872592;37.06
1209873120;37.06
1209873728;37.06
1209874256;37.06
1209874864;37.06
1209875392;37.06
1209876000;37.06
1209876528;37.06
1209877136;37.06
1209877664;37.06
1209878272;37.06
1209878800;37.06
1209879408;37.06
1209879936;37.06
1209880544;37.06
1209881072;37.06
1209881680;37.06
1209882208;37.06
1209882816;37.06
1209883344;37.06
1209883952;37.06
1209884480;37.06
1209885088;37.06
1209885616;37.06
1209886224;37.06
1209886752;37.06
1209887360;37.06
1209887888;37.06
1209888496;37.06
1209889024;37.06
1209889632;37.06
1209890160;37.06
1209890768;37.06
1209891296;37.06
1209891904;37.06
1209892432;37.06
1209893040;37.06
1209893568;37.06
1209894176;37.06
1209894704;37.06
1209895312;37.06
