Table size: 100000
Feature;Time(s)
3701215408;34.73
3701215936;34.73
3701216544;34.73
3701217072;34.73
3701217680;34.73
3701218208;34.73
3701218816;34.73
3701219344;34.73
3701219952;34.73
3701220480;34.73
3701221088;34.73
3701221616;34.73
3701222224;34.73
3701222752;34.73
3701223360;34.73
3701223888;34.73
3701224496;34.73
3701225024;34.73
3701225632;34.73
3701226160;34.73
3701226768;34.73
3701227296;34.73
3701227904;34.73
3701228432;34.73
3701229040;34.73
3701229568;34.73
3701230176;34.73
3701230704;34.73
3701231312;34.73
3701231840;34.73
3701232448;34.73
3701232976;34.73
3701233584;34.73
3701234112;34.73
3701234720;34.73
3701235248;34.73
3701235856;34.73
3701236384;34.73
3701236992;34.73
3701237520;34.73
3701238128;34.73
3701238656;34.73
3701239264;34.73
3701239792;34.73
3701240400;34.73
3701240928;34.73
3701241536;34.73
3701242064;34.73
3701242672;34.73
3701243200;34.73
3701243808;34.73
3701244336;34.73
3701244944;34.73
3701245472;34.73
3701246080;34.73
3701246608;34.73
3701247216;34.73
3701247744;34.73
3701248352;34.73
3701248880;34.73
3701249488;34.73
3701250016;34.73
3701250624;34.73
3701251152;34.73
3701251760;34.73
3701252288;34.73
3701252896;34.73
3701253424;34.73
3701254032;34.73
3701254560;34.73
3701255168;34.73
3701255696;34.73
3701256304;34.73
3701256832;34.73
3701257440;34.73
3701257968;34.73
3701258576;34.73
3701259104;34.73
3701259712;34.73
3701260240;34.73
3701260848;34.73
3701261376;34.73
3701261984;34.73
3701262512;34.73
3701263120;34.73
3701263648;34.73
3701264256;34.73
3701264784;34.73
3701265392;34.73
3701265920;34.73
3701266528;34.73
3701267056;34.73
3701267520;34.73
3695133384;34.73
3695133992;34.73
3695134520;34.73
3695135128;34.73
3695135656;34.73
3695136264;34.73
3695136792;34.73
3695137400;34.73
3695137928;34.73
3695138536;34.73
3695139064;34.73
3695139672;34.73
3695140200;34.73
3695140808;34.73
3695141336;34.73
3695141944;34.73
3695142472;34.73
3695143080;34.73
3695143608;34.73
3695144216;34.73
3695144744;34.73
3695145352;34.73
3695145880;34.73
3695146488;34.73
3695147016;34.73
3695147624;34.74
3695148152;34.74
3695148760;34.74
3695149288;34.74
3695149896;34.74
3695150424;34.74
3695151032;34.74
3695151560;34.74
3695152168;34.74
3695152696;34.74
3695153304;34.74
3695153832;34.74
3695154440;34.74
3695154968;34.74
3695155576;34.74
3695156104;34.74
3695156712;34.74
