Table size: 64512
Feature;Time(s)
0;13.15
-2013101465;13.16
803301390;13.45
803301419;13.45
803835339;13.49
803301176;13.49
803835339;13.49
803301404;13.49
0;14.1
-1878927145;14.1
803301390;14.12
803301419;14.12
803835339;14.12
803301176;14.12
803835339;14.12
803301404;14.12
0;14.14
-1744740377;14.14
803301390;14.14
803301419;14.14
803835339;14.14
803301176;14.14
803835339;14.14
803301404;14.14
1342269104;14.26
-1744737528;14.26
-2013098616;14.26
1208024352;14.27
-1409221408;14.28
1946283344;14.28
1946283784;14.29
1946284216;14.29
-1409220968;14.3
-1409220536;14.3
1342269544;14.3
1342269976;14.3
-1878924296;14.3
-1878923856;14.3
-1878923424;14.3
-2013098176;14.31
-2013097744;14.31
-1744737088;14.31
-1744736656;14.31
1208024792;14.31
1208025224;14.31
861421072;14.31
861421512;14.31
861421944;14.31
1342269136;16.34
1342269664;16.34
1342270272;16.34
1342270800;16.34
1342271408;16.34
1342271936;16.34
1342272544;16.34
1342273072;16.34
1342273680;16.34
1342274208;16.34
1342274816;16.34
1342275344;16.34
1342275952;16.34
1342276480;16.34
1342277088;16.34
1342277616;16.34
1342278224;16.34
1342278752;16.34
1342279360;16.34
1342279888;16.34
1342280496;16.34
1342281024;16.34
1342281632;16.34
1342282160;16.34
1342282768;16.34
1342283296;16.34
1342283904;16.34
1342284432;16.34
1342285040;16.34
1342285568;16.34
1342286176;16.34
1342286704;16.34
1342287312;16.34
1342287840;16.34
1342288448;16.34
1342288976;16.34
1342289584;16.34
1342290112;16.34
1342290720;16.34
1342290992;16.35
1342233712;16.35
1342234240;16.35
1342234848;16.35
1342235376;16.35
1342235984;16.35
1342236512;16.35
1342237120;16.35
1342237648;16.35
1342238256;16.35
1342238784;16.35
1342239392;16.35
1342239920;16.35
1342240528;16.35
1342241056;16.35
1342241664;16.35
1342242192;16.35
1342242800;16.35
1342243328;16.35
1342243936;16.35
1342244464;16.35
1342245072;16.35
1342245600;16.35
1342246208;16.35
1342246736;16.35
1342247344;16.35
1342247872;16.35
1342248480;16.35
1342249008;16.35
1342904072;16.35
1342904600;16.35
1342905208;16.35
1342905736;16.35
1342906344;16.35
1342906872;16.35
1342907480;16.35
1342908008;16.35
1342908616;16.35
1342909144;16.35
1342909752;16.35
1342910280;16.35
1342910888;16.35
1342911416;16.35
1342912024;16.35
1342912552;16.35
1342913160;16.35
1342913688;16.35
1342914296;16.35
1342914824;16.35
1342915432;16.35
1342915960;16.35
1342916568;16.35
1342917096;16.35
1342917704;16.35
1342918232;16.35
1342918840;16.35
1342919368;16.35
1342920048;16.35
1342920576;16.35
1342921184;16.35
1342921712;16.35
1342922320;16.35
1342922848;16.35
1342923456;16.35
1342923984;16.35
1342924592;16.35
1342925120;16.35
1342925728;16.35
1342926256;16.35
1342926864;16.35
1342927392;16.35
1342928000;16.35
1342928528;16.35
1342929136;16.35
1342929664;16.35
1342930272;16.35
1342930800;16.35
1342931408;16.35
1342931936;16.35
1342932544;16.35
1342933072;16.35
1342933680;16.35
1342934208;16.35
1342934816;16.35
1342935344;16.35
1342935952;16.35
1342936480;16.35
1342937088;16.35
1342937616;16.35
1342938224;16.35
1342938752;16.35
1342939360;16.35
1342939888;16.35
1342940496;16.35
1342941024;16.35
1342941632;16.35
1342942160;16.35
1342942768;16.35
1342943296;16.35
1342943904;16.35
1342944432;16.35
1342945040;16.35
1342945568;16.35
1342946176;16.35
1342946704;16.35
1342947312;16.35
1342947840;16.35
1342948448;16.35
1342948976;16.35
1342949584;16.35
1342950112;16.35
1342950720;16.35
1342951248;16.35
1342951856;16.35
1342952384;16.35
1342953064;16.35
1342953576;16.35
1342954184;16.35
1342954712;16.35
1342955320;16.35
1342955848;16.35
1342956456;16.35
1342956984;16.35
1342957592;16.35
1342958120;16.35
1342958728;16.35
1342959256;16.35
1342959864;16.35
1342960392;16.35
1342961000;16.35
1342961528;16.35
1342962136;16.35
1342962664;16.35
1342963272;16.35
1342963800;16.35
1342964408;16.35
1342964936;16.35
1342965544;16.35
1342966072;16.35
1342966680;16.35
1342967208;16.35
1342967816;16.35
1342968344;16.35
1342968952;16.35
1342969480;16.35
1342970088;16.35
1342970616;16.35
1342971224;16.35
1342971752;16.35
1342972360;16.35
1342972888;16.35
1342973496;16.35
1342974024;16.35
1342974632;16.35
1342975160;16.35
1342975768;16.35
1342976296;16.35
1342976904;16.35
1342977432;16.35
1342978040;16.35
1342978568;16.35
1342979176;16.35
1342979704;16.35
1342980312;16.35
1342980840;16.35
1342981448;16.35
1342981976;16.35
1342982584;16.35
1342983112;16.35
1342983720;16.35
1342984248;16.35
1342984856;16.35
1342985440;16.35
1342986048;16.35
1342986576;16.35
1342987184;16.35
1342987712;16.35
1342988320;16.35
1342988848;16.35
1342989456;16.35
1342989984;16.35
1342990592;16.35
1342991120;16.35
1342991728;16.35
1342992256;16.35
1342992864;16.35
1342993392;16.35
1342994000;16.35
1342994528;16.35
1342995136;16.35
1342995664;16.35
1342996272;16.35
1342996800;16.35
1342997408;16.35
1342997936;16.35
1342998544;16.35
1342999072;16.35
1342999680;16.35
1343000208;16.35
1343000816;16.35
1343001344;16.35
1343001952;16.35
1343002480;16.35
1343003088;16.35
1343003616;16.35
1343004224;16.35
1343004752;16.35
1343005360;16.35
1343005888;16.35
1343006496;16.35
1343007024;16.35
1343007632;16.35
1343008160;16.35
1343008768;16.35
1343009296;16.35
1343009904;16.35
1343010432;16.35
1343011040;16.35
1343011568;16.35
1343012176;16.35
1343012704;16.35
1343013312;16.35
1343013840;16.35
1343014448;16.35
1343014976;16.35
1343015584;16.35
1343016112;16.35
1343016720;16.35
1343017248;16.35
1343017856;16.35
1343017992;16.35
1343019048;16.35
1343019576;16.35
1343020184;16.35
1343020712;16.35
1343021320;16.35
1343021848;16.35
1343022456;16.35
1343022984;16.35
1343023592;16.35
1343024120;16.35
1343024728;16.35
1343025256;16.35
1343025864;16.35
1343026392;16.35
1343027000;16.35
1343027528;16.35
1343028136;16.35
1343028664;16.35
1343029272;16.35
1343029800;16.35
1343030408;16.35
1343030936;16.35
1343031544;16.35
1343032072;16.35
1343032680;16.35
1343033208;16.35
1343033816;16.35
1343034344;16.35
1343034952;16.35
1343035480;16.35
1343036088;16.35
1343036616;16.35
1343037224;16.35
1343037752;16.35
1343038360;16.35
1343038888;16.35
1343039496;16.35
1343040024;16.35
1343040632;16.35
1343041160;16.35
1343041768;16.35
1343042296;16.35
1343042904;16.35
1343043432;16.35
1343044040;16.35
1343044568;16.35
1343045176;16.35
1343045704;16.35
1343046312;16.35
1343046840;16.35
1343047448;16.35
1343047976;16.35
1343048584;16.35
1343049112;16.35
1343049720;16.35
1343050248;16.35
1343050992;16.35
1343050728;16.35
1343052048;16.35
1343052576;16.35
1343053184;16.35
1343053712;16.35
1343054320;16.35
1343054848;16.35
1343055456;16.35
1343055984;16.35
1343056592;16.35
1343057120;16.35
1343057728;16.35
1343058256;16.35
1343058864;16.35
1343059392;16.35
1343060000;16.35
1343060528;16.35
1343061136;16.35
1343061664;16.35
1343062272;16.35
1343062800;16.35
1343063408;16.35
1343063936;16.35
1343064544;16.35
1343065072;16.35
1343065680;16.35
