Table size: 20007Feature;Time(s)
0;0.08
-469017152;13.95
-481608256;14.67
-469017152;14.7
-481608256;14.77
-481608256;14.82
-481608256;14.82
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.86
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
-481608256;16.87
