Table size: 100000Feature;Time(s)
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.83
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.84
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.85
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.86
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.87
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.88
4;25.89
4;25.89
4;25.89
4;25.89
4;25.89
4;25.89
4;25.89
4;25.89
4;25.89
4;25.89
4;25.89
4;25.89
4;25.89
4;25.89
