Procedure;Image;Calls;Instructions
.text;mysqld;0;198542274
.text;mysqld;0;82282776
.text;mysqld;0;77869053
my_hash_sort_bin;mysqld;56520;66657303
.text;mysqld;0;57358255
my_strnxfrm_simple_internal;mysqld;64687;55824881
my_hash_sort_simple_nopad;mysqld;32423;54825711
.text;mysqld;0;45772801
Lex_input_stream::get_text(st_mysql_lex_string*, unsigned int, int, int);mysqld;20007;43042414
.text;mysqld;0;41421055
MYSQLparse(THD*);mysqld;656;34237833
bzero;libc.so.6;0;21588679
alloc_root;mysqld;608447;19172535
.text;mysqld;1;16704162
.text;mysqld;0;16075705
crc32;libz.so.1;9172;15942678
pthread_cond_destroy;libpthread.so.0;443846;14646918
pthread_mutex_lock;libpthread.so.0;418709;13627592
.text;mysqld;0;11837968
gu::Cond::~Cond();libgalera_smm.so;393225;11796750
__libc_malloc;libc.so.6;233323;11482383
.text;mysqld;0;11246909
pthread_mutex_unlock;libpthread.so.0;429772;9607567
wsrep_thd_is_BF;mysqld;304264;8519392
Item_func_between::val_int();mysqld;129631;7518598
my_qsort2;mysqld;3754;7161830
my_net_write;mysqld;131823;7118442
my_convert;mysqld;71520;6951608
pthread_cond_init;libpthread.so.0;443855;6657825
cfree;libc.so.6;250441;6646009
handler::ha_index_next(unsigned char*);mysqld;129631;6611181
Protocol::send_result_set_row(List<Item>*);mysqld;102346;6550232
galera_append_data;libgalera_smm.so;629;6493445
Item_param::val_int();mysqld;269262;6462288
wsrep_thd_is_wsrep;mysqld;304264;6389544
gu::RecordSetInBase::checksum() const;libgalera_smm.so;1264;6138580
galera::ReplicatorSMM::ReplicatorSMM(wsrep_init_args const*);libgalera_smm.so;1;6095709
Protocol::store_string_aux(char const*, unsigned long, charset_info_st const*, charset_info_st const*);mysqld;153830;5640864
crc32cHardware64;libgalera_smm.so;17516;5612040
JOIN::optimize_inner();mysqld;8554;5352992
filesort(THD*, TABLE*, Filesort*, Filesort_tracker*, JOIN*, unsigned long long);mysqld;1250;5245815
Query_cache::get_free_block(unsigned long, char, unsigned long);mysqld;17717;4994673
.plt.got;mysqld;0;4707211
select_send::send_data(List<Item>&);mysqld;102346;4605570
galera::KeySetOut::KeyPart::KeyPart(galera::KeySetOut::KeyParts&, galera::KeySetOut&, galera::KeySetOut::KeyPart const*, galera::KeyData const&, int, int);libgalera_smm.so;12853;4582365
clock_gettime;[vdso];72680;4197181
Field::send_binary(Protocol*);mysqld;101713;4170233
galera::KeySetOut::append(galera::KeyData const&);libgalera_smm.so;12082;4120045
set_thd_stage_info;mysqld;113333;4047389
.text;[vdso];0;4033130
key_cmp(st_key_part_info*, unsigned char const*, unsigned int);mysqld;133585;4022015
Protocol::net_store_data(unsigned char const*, unsigned long);mysqld;102338;3991182
Query_cache::find_bin(unsigned long);mysqld;59823;3934773
escape_string_for_mysql;mysqld;1875;3774375
Field_string::val_str(String*, String*);mysqld;101752;3764824
my_hash_first_from_hash_value;mysqld;35633;3668233
setup_fields(THD*, Bounds_checked_array<Item*>, List<Item>&, enum_mark_columns, List<Item>*, List<Item>*, bool);mysqld;23576;3626068
Query_cache_block::data();mysqld;299516;3594192
wsrep_on;mysqld;318245;3500695
Item_field::used_tables() const;mysqld;159984;3474068
open_tables(THD*, DDL_options_st const&, TABLE_LIST**, unsigned int*, unsigned int, Prelocking_strategy*);mysqld;11081;3454967
mysql_execute_command(THD*);mysqld;12311;3439330
Mrr_simple_index_reader::get_next(void**);mysqld;135460;3377750
dispatch_command(enum_server_command, THD*, char*, unsigned int, bool, bool);mysqld;12543;3299810
Protocol::net_store_data_cs(unsigned char const*, unsigned long, charset_info_st const*, charset_info_st const*);mysqld;51492;3243996
Field_string::pack(unsigned char*, unsigned char const*, unsigned int);mysqld;58359;3151386
pack_row(TABLE*, st_bitmap const*, unsigned char*, unsigned char const*);mysqld;13047;3131280
JOIN::prepare(TABLE_LIST*, unsigned int, Item*, unsigned int, st_order*, bool, st_order*, Item*, st_order*, st_select_lex*, st_select_lex_unit*);mysqld;8559;3117465
sub_select(JOIN*, st_join_table*, bool);mysqld;5633;3011517
handler::read_range_next();mysqld;129631;2991513
strlen;libc.so.6;173761;2908140
QUICK_RANGE_SELECT::get_next();mysqld;135460;2844660
handler::multi_range_read_next(void**);mysqld;135460;2818575
JOIN::get_best_combination();mysqld;8550;2754145
Item::Item(THD*);mysqld;50740;2739978
DsMrr_impl::dsmrr_next(void**);mysqld;135460;2735450
Query_cache::try_lock(THD*, Query_cache::Cache_try_lock_mode);mysqld;34392;2716968
Query_cache_block::headers_len();mysqld;384986;2694902
handler::compare_key(st_key_range*);mysqld;133585;2674093
Field_string::sort_string(unsigned char*, unsigned int);mysqld;64687;2652167
MYSQLlex(YYSTYPE*, THD*);mysqld;82212;2630784
longlong2decimal;mysqld;32474;2630394
Query_cache::send_result_to_client(THD*, char*, unsigned int);mysqld;12515;2592365
my_strxfrm_pad_desc_and_reverse;mysqld;64687;2587480
my_lengthsp_8bit;mysqld;101752;2551605
THD::decide_logging_format(TABLE_LIST*);mysqld;11072;2521314
