Procedure;Address;Image;Calls;Instructions
.text;94554514811456;mysqld;0;104032825698
my_strnxfrm_simple_internal;94554517408736;mysqld;109436679;94443853977
my_hash_sort_simple_nopad;94554517399392;mysqld;54726855;92543110223
.text;94554514611456;mysqld;0;56196920125
.text;94554509111744;mysqld;0;55774764985
.text;94554513882208;mysqld;0;33793453244
.text;94554516847488;mysqld;0;25998892265
my_qsort2;94554517169152;mysqld;639869;19193661453
_ZN17Item_func_between7val_intEv;94554511802912;mysqld;217844478;12634831821
wsrep_thd_is_BF;94554511231904;mysqld;438707340;12283805520
_ZN7handler13ha_index_nextEPh;94554511608176;mysqld;217819560;11108797560
.text;94554514082208;mysqld;4;11106321323
_ZN8Protocol19send_result_set_rowEP4ListI4ItemE;94554509350144;mysqld;164432811;10523703820
_ZN10Item_param7val_intEv;94554511701312;mysqld;436533553;10476805272
.text;94554515627296;mysqld;0;9820695305
.text;94554515427296;mysqld;0;9650806950
wsrep_thd_is_wsrep;94554511231808;mysqld;438707340;9212854140
my_net_write;94554509327344;mysqld;166617042;8997320268
_Z8filesortP3THDP5TABLEP8FilesortP16Filesort_trackerP4JOINy;94554511580336;mysqld;213384;7930791869
_ZN11select_send9send_dataER4ListI4ItemE;94554509699408;mysqld;164432811;7399476495
_ZN5Field11send_binaryEP8Protocol;94554511473568;mysqld;164320030;6737121230
_Z7key_cmpP16st_key_part_infoPKhj;94554512373216;mysqld;218540894;6559509147
bzero;139732663423488;libc.so.6;0;6438592654
_ZN8Protocol14net_store_dataEPKhm;94554509345808;mysqld;164430683;6412796637
_ZN12Field_string7val_strEP6StringS1_;94554511504640;mysqld;164320075;6079842775
_ZN8Protocol16store_string_auxEPKcmPK15charset_info_stS4_;94554509351632;mysqld;167869157;6050166600
_ZN23Mrr_simple_index_reader8get_nextEPPv;94554510949920;mysqld;218882467;5470525915
_ZN7handler15read_range_nextEv;94554511624880;mysqld;217819560;5011555108
my_hash_sort_bin;94554517365776;mysqld;4106051;4862831071
wsrep_on;94554511142736;mysqld;439370677;4833077447
_Z10sub_selectP4JOINP13st_join_tableb;94554510118336;mysqld;959649;4623475248
_ZN18QUICK_RANGE_SELECT8get_nextEv;94554512588016;mysqld;218882467;4596531807
longlong2decimal;94554517508752;mysqld;53614437;4487019671
_ZN12Field_string11sort_stringEPhj;94554511505376;mysqld;109436679;4486903839
_ZN7handler21multi_range_read_nextEPPv;94554510949680;mysqld;218882467;4396846340
_ZN10DsMrr_impl10dsmrr_nextEPPv;94554510954816;mysqld;218882467;4382256620
my_strxfrm_pad_desc_and_reverse;94554517410432;mysqld;109436679;4377467160
_ZN7handler11compare_keyEP12st_key_range;94554511624784;mysqld;218540894;4371389084
my_lengthsp_8bit;94554517408544;mysqld;164320075;4108010445
_ZN10Item_field7val_intEv;94554511642320;mysqld;218350329;3711910709
_ZN15Protocol_binary18prepare_for_resendEv;94554509343680;mysqld;164432455;3288649100
_ZN12Item_sum_sum10add_helperEb;94554512292816;mysqld;53614437;3163251783
_ZN12Field_string4packEPhPKhj;94554511506400;mysqld;56361063;3043497402
my_strnxfrm_simple;94554517410672;mysqld;109436679;2954790333
_Z8key_copyPhS_P6st_keyjb;94554512370512;mysqld;54709837;2899621649
_ZN10Field_long3cmpEPKhS1_;94554511461920;mysqld;218967201;2846573613
_ZN7handler10ha_rnd_posEPhS0_;94554511606864;mysqld;54726854;2845796408
_Z14end_send_groupP4JOINP13st_join_tableb;94554510209408;mysqld;53725090;2796369278
_ZN15Protocol_binary5storeEP5Field;94554509344720;mysqld;164320030;2793440510
_ZN7handler11ha_rnd_nextEPh;94554511606400;mysqld;54833907;2686540834
_ZN7handler16ha_write_tmp_rowEPh;94554510256608;mysqld;54727032;2626897536
.plt.got;94554509107600;mysqld;0;2521566621
_ZN10Field_long7val_intEv;94554511461840;mysqld;273057732;2457519588
_ZN3THD25check_limit_rows_examinedEv;94554511634192;mysqld;328914444;2302401108
_ZN12Field_string6unpackEPhPKhS2_j;94554511506720;mysqld;54709825;2243102825
_ZN8Protocol5writeEv;94554509343504;mysqld;165005801;1980069612
my_hash_sort_simple;94554517399520;mysqld;54726855;1915439909
_ZN5Field13make_sort_keyEPhj;94554511492096;mysqld;109436679;1750986864
_ZN5Field7key_cmpEPKhj;94554511549168;mysqld;218540894;1748327152
thd_kill_level;94554509694384;mysqld;227879831;1595158817
alloc_root;94554517196864;mysqld;47440496;1520175667
.text;94554515921200;mysqld;0;1514650908
_Z11copy_fieldsP15TMP_TABLE_PARAM;94554510181456;mysqld;54837507;1479948771
_ZN3THD18inc_sent_row_countEy;94554509699344;mysqld;164432811;1479895299
_ZN10Item_field4sendEP8ProtocolP6String;94554511644608;mysqld;164320386;1478883474
net_store_length;94554512689392;mysqld;173021302;1384517596
_ZN17Aggregator_simple11arg_is_nullEb;94554512262960;mysqld;53614437;1340360925
my_strxfrm_desc_and_reverse;94554517409696;mysqld;109436679;1313240148
_ZN7AGGR_OP8end_sendEv;94554510243392;mysqld;106679;1267892036
_Z16rr_from_pointersP11READ_RECORD;94554512694912;mysqld;54833533;1260211148
_ZN15Protocol_binary5storeEPKcmPK15charset_info_st;94554509354032;mysqld;164430683;1151014781
_ZN9Field_num11val_decimalEP10my_decimal;94554511486800;mysqld;53614437;1125903177
thd_get_thread_id;94554509696336;mysqld;218655801;1093279005
_ZN7AGGR_OP10put_recordEb;94554510243296;mysqld;54833533;1042263843
_Z10copy_funcsPP4ItemPK3THD;94554510182432;mysqld;54726854;1039810226
_Z21test_if_group_changedR4ListI11Cached_itemE;94554510179376;mysqld;53614437;1018674303
crc32;139732904994960;libz.so.1;1280529;997131477
_ZN16Lex_input_stream8get_textEP19st_mysql_lex_stringjii;94554509827200;mysqld;440196;946974410
_Z24sub_select_postjoin_aggrP4JOINP13st_join_tableb;94554510244000;mysqld;54833533;932810135
