              Procedure           Image            Address        Calls Instructions
_ZN17Query_cache_block11headers_lenEv          mysqld       565459c52cc0      3035818     21250726
_ZN17Query_cache_block4dataEv          mysqld       565459c52cd0      1680486     20165832
query_cache_query_get_key          mysqld       565459c52d30      1313033     30199759
   pthread_mutex_unlock libpthread.so.0       7fc75a26d4c0       741329     17743457
     pthread_mutex_lock libpthread.so.0       7fc75a26bd40       735416     24592439
             alloc_root          mysqld       56545a388040       497946     15680362
      pthread_cond_init libpthread.so.0       7fc75a26f0c0       443218      6648270
   pthread_cond_destroy libpthread.so.0       7fc75a26f140       443209     14625897
       thd_test_options          mysqld       565459c5b510       409837      2459022
  pthread_cond_init@plt libgalera_smm.so       7fc74c1fe520       393251       393251
pthread_cond_destroy@plt libgalera_smm.so       7fc74c1fed30       393250       393250
        _ZN2gu4CondD2Ev libgalera_smm.so       7fc74c281350       393225     11796750
            thd_ha_data          mysqld       565459c5b450       301425      2109975
_ZN17Query_cache_block5queryEv          mysqld       565459c52d70       246870       987480
               wsrep_on          mysqld       565459dc1f50       243672      2680392
     _ZN4Item7cleanupEv          mysqld       565459e3b770       238861      2388610
                  cfree       libc.so.6       7fc7598914f0       227353      6266863
        wsrep_thd_is_BF          mysqld       565459dd7ba0       224582      6288296
     wsrep_thd_is_wsrep          mysqld       565459dd7b40       224582      4716222
          __libc_malloc       libc.so.6       7fc759891130       215087     10784529
_ZN10Item_param7val_intEv          mysqld       565459e4a540       198680      4768320
_ZN3LEX25restore_set_statement_varEv          mysqld       565459c87030       187355      2810325
_ZN4ItemnwEmP11st_mem_root          mysqld       565459c0f3a0       184684      1477472
_ZN17Item_result_field7cleanupEv          mysqld       565459e3d430       184465      2029115
     set_thd_stage_info          mysqld       565459c5b020       182043      6495567
        __clock_gettime       libc.so.6       7fc759922850       173112      2942904
          clock_gettime          [vdso]       7fffe9533a10       173112     10063983
_ZN3THD25check_limit_rows_examinedEv          mysqld       565459e39f10       160163      1121141
__pthread_disable_asynccancel libpthread.so.0       7fc75a2721c0       155468      1865616
__pthread_enable_asynccancel libpthread.so.0       7fc75a272160       155468      1710148
_ZN10Field_long7val_intEv          mysqld       565459e0fdd0       151771      1365939
  __pthread_getspecific libpthread.so.0       7fc75a2702d0       151273      2559176
       net_store_length          mysqld       565459f3b8f0       149565      1196541
                 strlen       libc.so.6       7fc759898720       149481      2458324
        thd_sql_command          mysqld       565459c5b520       147995       887970
_ZN9Statement13set_statementEPS_          mysqld       565459c58160       135973      2311541
             malloc@plt  libstdc++.so.6       7fc759f67520       132617       132619
               free@plt  libstdc++.so.6       7fc759f67db0       132616       132618
                 _ZdlPv  libstdc++.so.6       7fc759f6bf10       132530       132530
